DS1000 Dynamic NDArray Review List
================================
Total reviewed cases: 73
Static-NDArray cases detected: 70
Recommended for dynamic conversion: 36 (49.3% of all cases)
Keep static for now: 37

Review method: inspected each case folder (caseXXX/sol.py) and paired with official DS-1000 prompt text.
Decision policy: prioritize static-NDArray tasks with stronger shape/reshape/slicing dependence.

=== RECOMMENDED: CONVERT TO DYNAMIC NDARRAY ===
case296 | static_ndarray=yes | score=02 | Let's say I have a 1d numpy positive integer array like this
case297 | static_ndarray=yes | score=02 | Let's say I have a 1d numpy integer array like this
case301 | static_ndarray=yes | score=02 | I want to convert a 1-dimensional array into a 2-dimensional array by specifying the number of columns in the 2D array. Something that wo...
case302 | static_ndarray=yes | score=02 | I want to convert a 1-dimensional array into a 2-dimensional array by specifying the number of rows in the 2D array. Something that would...
case303 | static_ndarray=yes | score=02 | I want to convert a 1-dimensional array into a 2-dimensional array by specifying the number of columns in the 2D array. Something that wo...
case304 | static_ndarray=yes | score=02 | I want to reverse & convert a 1-dimensional array into a 2-dimensional array by specifying the number of columns in the 2D array. Somethi...
case309 | static_ndarray=yes | score=02 | How can I get get the position (indices) of the largest value in a multi-dimensional NumPy array `a`?
case313 | static_ndarray=yes | score=02 | How can I get get the position (indices) of the largest value in a multi-dimensional NumPy array `a`?
case330 | static_ndarray=yes | score=02 | I need to square a 2D numpy array (elementwise) and I have tried the following code:
case334 | static_ndarray=yes | score=02 | I'd like to calculate element-wise average of numpy ndarrays. For example
case335 | static_ndarray=yes | score=02 | I'd like to calculate element-wise maximum of numpy ndarrays. For example
case336 | static_ndarray=yes | score=04 | So in numpy arrays there is the built in function for getting the diagonal indices, but I can't seem to figure out how to get the diagona...
case337 | static_ndarray=yes | score=04 | So in numpy arrays there is the built in function for getting the diagonal indices, but I can't seem to figure out how to get the diagona...
case338 | static_ndarray=yes | score=05 | So in numpy arrays there is the built in function for getting the diagonal indices, but I can't seem to figure out how to get the diagona...
case339 | static_ndarray=yes | score=06 | So in numpy arrays there is the built in function for getting the diagonal indices, but I can't seem to figure out how to get the diagona...
case360 | static_ndarray=yes | score=03 | >>> arr = np.array([[1,2,3,4], [5,6,7,8], [9,10,11,12]])
case369 | static_ndarray=yes | score=03 | In numpy, is there a nice idiomatic way of testing if all columns are equal in a 2d array?
case375 | static_ndarray=yes | score=03 | What is the equivalent of R's ecdf(x)(x) function in Python, in either numpy or scipy? Is ecdf(x)(x) basically the same as:
case385 | static_ndarray=yes | score=04 | I have a 2-d numpy array as follows:
case387 | static_ndarray=yes | score=05 | I have a 2-d numpy array as follows:
case388 | static_ndarray=yes | score=05 | I have a 2-d numpy array as follows:
case389 | static_ndarray=yes | score=04 | I'm looking for a generic method to from the original big array from small arrays:
case393 | static_ndarray=yes | score=02 | I have an array :
case408 | static_ndarray=yes | score=02 | I'm looking for a fast solution to compute minimum of the elements of an array which belong to the same index.
case414 | static_ndarray=yes | score=05 | I have a numpy array which contains time series data. I want to bin that array into equal partitions of a given length (it is fine to dro...
case415 | static_ndarray=yes | score=05 | I have a numpy array which contains time series data. I want to bin that array into equal partitions of a given length (it is fine to dro...
case416 | static_ndarray=yes | score=05 | I have a 2-dimensional numpy array which contains time series data. I want to bin that array into equal partitions of a given length (it ...
case417 | static_ndarray=yes | score=05 | I have a numpy array which contains time series data. I want to bin that array into equal partitions of a given length (it is fine to dro...
case418 | static_ndarray=yes | score=05 | I have a 2-dimensional numpy array which contains time series data. I want to bin that array into equal partitions of a given length (it ...
case419 | static_ndarray=yes | score=05 | I have a 2-dimensional numpy array which contains time series data. I want to bin that array into equal partitions of a given length (it ...
case436 | static_ndarray=yes | score=04 | Input example:
case437 | static_ndarray=yes | score=04 | Input example:
case440 | static_ndarray=yes | score=03 | Let X be a M x N matrix, with all elements being positive. Denote xi the i-th column of X. Someone has created a 3 dimensional N x M x M ...
case452 | static_ndarray=yes | score=04 | Given a 2-dimensional array in python, I would like to normalize each row with L1 Norm.
case453 | static_ndarray=yes | score=04 | Given a 2-dimensional array in python, I would like to normalize each row with L2 Norm.
case510 | static_ndarray=yes | score=05 | I want to process a gray image in the form of np.array.

=== KEEP STATIC FOR NOW (OR LOW PRIORITY) ===
case295 | static_ndarray=yes | score=00 | Let's say I have a 1d numpy positive integer array like this:
case298 | static_ndarray=yes | score=00 | Let's say I have a 1d numpy array like this
case299 | static_ndarray=yes | score=01 | Let's say I have a 2d numpy integer array like this
case300 | static_ndarray=yes | score=00 | Is there a convenient way to calculate percentiles for a sequence or single-dimensional numpy array?
case310 | static_ndarray=yes | score=01 | How can I get get the position (indices) of the smallest value in a multi-dimensional NumPy array `a`?
case318 | static_ndarray=yes | score=01 | Is there a way to change the order of the columns in a numpy 2D array to a new and arbitrary order? For example, I have an array `a`:
case319 | static_ndarray=yes | score=00 | Is there a way to change the order of the matrices in a numpy 3D array to a new and arbitrary order? For example, I have an array `a`:
case322 | static_ndarray=yes | score=01 | How can I know the (row, column) index of the minimum(might not be single) of a numpy array/matrix?
case323 | static_ndarray=no | score=00 | I'm working on a problem that has to do with calculating angles of refraction and what not. However, it seems that I'm unable to use the ...
case324 | static_ndarray=no | score=00 | I'm working on a problem that has to do with calculating angles of refraction and what not. However, it seems that I'm unable to use the ...
case329 | static_ndarray=yes | score=00 | I need to square a 2D numpy array (elementwise) and I have tried the following code:
case353 | static_ndarray=yes | score=01 | Say I have these 2D arrays A and B.
case354 | static_ndarray=yes | score=00 | Say I have these 2D arrays A and B.
case368 | static_ndarray=yes | score=00 | In numpy, is there a nice idiomatic way of testing if all rows are equal in a 2d array?
case370 | static_ndarray=yes | score=01 | In numpy, is there a nice idiomatic way of testing if all rows are equal in a 2d array?
case373 | static_ndarray=yes | score=00 | What is the equivalent of R's ecdf(x)(x) function in Python, in either numpy or scipy? Is ecdf(x)(x) basically the same as:
case374 | static_ndarray=yes | score=00 | What is the equivalent of R's ecdf(x)(x) function in Python, in either numpy or scipy? Is ecdf(x)(x) basically the same as:
